Paper_number,Authors,Paper_date,Lat,Lon,Continent,Country,loc_Name,mean_rate_mm_yr,max_rate_mm_yr,Category,Study_period
46,Chen et al.,2012,22.2,113.555,Asia,China/Hong Kong,Greater Pearl River Delta region,NA,3.18,Urbanization,2006-2010
45,Ding et al.,2004,22.2855,114.1577,Asia,Hong Kong,Hong Kong International Airport,NA,50,Natural Compaction,1998-1999
44,Tao et al.,2012,39.1422,117.1767,Asia,China,Tianjin,NA,34,Groundwater,2007-2010
40,Bonforte et al.,2007,37.751005,14.993435,Europe,Italy,Mount Etna,NA,70,Tectonic,2002
39,Akarvardar et al.,2009,40.98,28.71,Asia,Turkey,"Avcilar district, Istanbul",NA,6,Natural Compaction,1992-1999
9,Lashkaripou et al.,2014,36.3156,59.568,Asia,Iran,Mashhad,NA,240,Groundwater,2003-2006
7,Bayuaji et al.,2010,-6.114,106.804,Asia,Indonesia,Jakarta,NA,84.25,Groundwater,2007-2008
z29,Motagh et al.,2017,30.3549,56.0027,Asia,Iran,Koshkoueieh-Rafsanjan,300,NA,Groundwater,2006-2016
z11,Ojha et al.,2020,37.9832553,-121.8677352,North_Am,USA,"Tulare, CA",275,300,Groundwater,2015-2017
108,Kim et al.,2013,23.75833333,86.33333333,Asia,India,Jharia,264,352,Mining,2007-2010
z30,Haghighi and Motagh,2019,35.3174,56.294,Asia,Iran,Tehran Plain,250,NA,Groundwater,2003-2017
z30,Haghighi and Motagh,2019,35.325474,51.645665,Asia,Iran,Veramin Plain,220,NA,Groundwater,2003-2017
z06,Du et al.,2019,19.432608,-99.133209,North_Am,Mexico,Mexico City,208,300,Groundwater,2004-2018
131,Chaussard et al.,2013,-6.9039,107.6186,Asia,Indonesia,Bandung,173,225,Groundwater,2007-2009
P10,Pinto et al.,2015,-6.105611,-50.300385,South_Am,Brazil,Azul Mining Complex,157.5,170.2,Mining,2012-2013
131,Chaussard et al.,2013,-6.13757,106.776637,Asia,Indonesia,Jakarta,155,218,Groundwater,2007-2008
p46,Salzer et al.,2017,19.5,-103.6,North_Am,Mexico,Volcan de Colima,150,NA,Tectonic,2012
49,Raucoules et al.,2013,14.6042,120.9822,Asia,Philippines,Manila,150,NA,Groundwater,1993-2010
74,Sarychikhina et al.,2011,32.6448,-115.4581,North_Am,Mexico,Cerro Prieto Geothermal Field,140,170,Geothermal,2004-2005
131,Chaussard et al.,2013,-7.4478,112.7183,Asia,Indonesia,Sidoarjo,136.5,165,Oil & Gas,2007-2009
131,Chaussard et al.,2013,-7.4457,107.5979,Asia,Indonesia,Bungbulang,133,151,Groundwater,2007-2010
p42,Levy et al.,2020,37,-119,North_Am,USA,"Kaweah Subbasin, CA",131,NA,Groundwater,2015-2017
82,Hu et al.,2014,40,116,Asia,China,Bejing,110,NA,Groundwater,2003-2010
31,Kutoglu et al.,2014,40.1927,29.084,Asia,Turkey,Bursa,109,NA,Tectonic,2007-2010
131,Chaussard et al.,2013,-7.0051,110.4381,Asia,Indonesia,Semarang,100,130,Groundwater,2007-2009
97,Samsonov et al.,2014,52.1168,-106.6345,North_Am,Canada,Saskatoon,100,NA,Mining,2008-2011
131,Chaussard et al.,2013,-6.8886,109.6753,Asia,Indonesia,Pekalongan,91,105,Groundwater,2007-2009
131,Chaussard et al.,2013,-6.2797,107.6658,Asia,Indonesia,Blanakan,90,120,Groundwater,2007-2009
z27,Calderhead et al,2011,19.332097,-99.667885,North_Am,Mexico,Toluca,80,100,Groundwater,2003-2008
131,Chaussard et al.,2013,5.181164,97.141322,Asia,Indonesia,Lhokseumawe,79,113,Oil & Gas,2007-2009
p21,Parwata et al.,2019,-7.045227,110.4381,Asia,Indonesia,Semarang City,76,99,Groundwater,2007-2010
131,Chaussard et al.,2013,3.5833,98.6667,Asia,Indonesia,Medan,65,83,Groundwater,2007-2009
99,Ng et al.,2011,39.9,116.41,Asia,China,Langfang,65,NA,Groundwater,2007-2008
AF05,Ikuemonisan and Ozebo,2020,6.529184,3.26918,Africa,Nigeria,Lagos,63,NA,Groundwater,2015-2017
105,Zhao et al.,2008,32.0617,118.7778,Asia,China,Xian,60,NA,Urbanization,2005-2006
92,Ebmeier et al.,2012,14.7394,-91.5681,North_Am,Guatemala,Santiaguito Volcano,60,NA,Tectonic,2004-2005
109,Akein et al.,2010,41.4514,31.7931,Asia,Turkey,Zonguldak,58,NA,Mining,2005-2006
100,Cigna et al.,2011,19.7008,-101.1844,North_Am,Mexico,Morelia,55.5,NA,Groundwater,2003-2010
p31,Meldebekova et al.,2020,34.5553,69.2075,Asia,Afghanistan,Kabul,53,53,Groundwater,2014-2019
z25,Hole et al.,2007,-38.62597,176.103232,New Zealand,New Zealand,Wairakei-Tauhara Geothermal Field,52,NA,Geothermal,2001-2004
64,Qu et al.,2014,32.0617,118.7778,Asia,China,Xian,50,NA,Groundwater,2005-2012
p43,Murgia et al.,2019,19.7,-103.5,North_Am,Mexico,Ciudad Guzman,45,60,Groundwater,2003-2018
z26,Zhao et al.,2011,40.025477,113.141358,Asia,China,Datong,40,NA,Mining,2004-2008
113,Hsu et al.,2015,23.709,120.431,Asia,Taiwan,Yunlin County,40,71,Groundwater,2007-2010
96,Gourmelen et al.,2007,40.416,-116.5765,North_Am,USA,"Crescent Valley, NV",40,NA,Groundwater,1996-2002
88,Nga et al.,2012,-6.174465,106.822745,Asia,Indonesia,Jakarta,38,NA,Groundwater,2007-2009
141,Bawden et al.,2001,34.012235,-117.688944,North_Am,USA,"Chino, CA",34,NA,Groundwater,1997-1998
z07,Mohammadimanesh et al.,2019,63.5891643,-135.89066,North_Am,Canada,Village of Mayo,30,40,Natural Compaction,2015
p45,Reinisch et al.,2020,35.92,117.67,North_Am,USA,"Coso Geothermal Field, CA",30,NA,Geothermal,2004-2016
141,Bawden et al.,2001,34,-118.264733,North_Am,USA,"Los Angeles, CA",17.5,28,Oil & Gas,1997-1999
108,Kim et al.,2007,35.16666667,129.0833333,Asia,Korea,Busan,27,NA,Urbanization,1992-1998
32,Lee et al.,2013,52.3123,-172.4537,North_Am,USA,"Seguam Island, AK",26.67,50,Tectonic,1992-2008
108,Kim et al.,2007,37.46,126.69,Asia,Korea,Incheon,26,NA,Urbanization,1992-1998
14,Ng et al.,2015,-37.4713,144.7852,Australia,Australia,Gippsland,25.07,82.9,Mining,2006-2011
z27,Calderhead et al,2011,19.332097,-99.667885,North_Am,Mexico,Toluca,25,60,Groundwater,1996-2008
p40,Chen et al.,2020,69,-150,North_Am,USA,"Anaktuvuk River, AK",25,NA,Natural Compaction,2006-2010
76,Hongdong et al.,2011,32.06,118.76,Asia,China,Jiangsu County,22.95,NA,Groundwater,1995-2000
z26,Zhao et al.,2011,40.084897,113.306115,Asia,China,Datong,20,NA,Groundwater,2004-2008
P15,Parwata et al.,2020,44.536576,18.679165,Europe,Bosnia and Herzegovina,Tuzla,20,40,Mining,2014-2019
147,Dong et al.,2013,31.2222,121.4581,Asia,China,Shanghai,20,40,Groundwater,2007-2010
